Target,TargetSignature,TargetCellLine,TargetConcentration,TargetTime,FDA_Phase,PNGF_1M,WT_1M,PNGF_3M,WT_3M
BRD-K13528168-001-01-6,LINCSCP_259488,NEU,10uM,24h,NA,NA,NA,NA,-0.26824593
Obatoclax,LINCSCP_58706,VCAP,10uM,6h,NA,NA,NA,NA,-0.26817783
SPECTRUM_000011,LINCSCP_44775,PC3,10uM,6h,NA,NA,NA,NA,-0.2681067
T 98475,LINCSCP_55671,VCAP,10uM,24h,NA,NA,NA,NA,-0.26807962
AZD-1152HQPA,LINCSCP_4094,A375,1uM,24h,NA,NA,NA,NA,-0.26763219
Tipifarnib,LINCSCP_140378,MCF7,0.37uM,24h,3,NA,NA,NA,-0.26762457
BG-1010,LINCSCP_43545,NPC,10uM,6h,NA,NA,NA,NA,-0.26721569
AZD-1152-HQPA,LINCSCP_69028,A375,3.33uM,24h,NA,NA,NA,NA,-0.26710817
Itrazole,LINCSCP_269592,PC3,10uM,24h,NA,NA,NA,NA,-0.26701943
Mibefradil,LINCSCP_26976,HT29,10uM,6h,4,NA,NA,NA,-0.26698804
BRD-K73911580,LINCSCP_60487,VCAP,5uM,6h,NA,NA,NA,NA,-0.26683583
Raloxifene,LINCSCP_280484,PC3,10uM,24h,4,NA,NA,NA,-0.26677338
AC1OFCDP,LINCSCP_47622,PC3,10uM,24h,NA,NA,NA,NA,-0.26664853
CHEMBL2135649,LINCSCP_47178,PC3,10uM,24h,NA,NA,NA,NA,-0.26656882
CHEMBL2137269,LINCSCP_47246,PC3,10uM,6h,NA,NA,NA,NA,-0.26634859
Ursolic acid,LINCSCP_30838,MCF7,70uM,6h,NA,NA,NA,NA,-0.26610924
Gallocatechin Gallate,LINCSCP_21661,HEPG2,90uM,6h,NA,NA,NA,NA,-0.26603328
SCHEMBL15422158,LINCSCP_46194,PC3,10uM,24h,NA,NA,NA,NA,-0.26546245
Z36,LINCSCP_41554,NEU,10uM,6h,NA,NA,NA,NA,-0.26539213
BRD-K17890048,LINCSCP_28216,HT29,10uM,24h,NA,NA,NA,NA,-0.26515619
"16,16-Dimethyl prostaglandin e2",LINCSCP_30887,MCF7,10uM,6h,NA,NA,NA,NA,-0.26514942
Bufalin,LINCSCP_27135,HT29,10uM,6h,NA,NA,NA,NA,-0.2649425
Floxuridine,LINCSCP_142768,MCF7,0.04uM,24h,NA,NA,NA,NA,-0.26489776
Floxuridine,LINCSCP_142768,MCF7,0.04uM,24h,4,NA,NA,NA,-0.26489776
Osimertinib,LINCSCP_117157,HT29,10uM,24h,4,NA,NA,NA,-0.26481304
MLS002276542,LINCSCP_45876,PC3,10uM,24h,NA,NA,NA,NA,-0.26417433
BI-2536,LINCSCP_163904,SKBR3,10uM,3h,2,NA,NA,NA,-0.26364919
Tremulacin,LINCSCP_31694,MCF7,10uM,6h,NA,NA,NA,NA,-0.263646
ZINC77024257,LINCSCP_87521,CD34,10uM,24h,NA,NA,NA,NA,-0.2629779
SCHEMBL15422156,LINCSCP_46273,PC3,10uM,24h,NA,NA,NA,NA,-0.26283413
CHEMBL1474387,LINCSCP_57415,VCAP,10uM,6h,NA,NA,NA,NA,-0.26277729
KUC104337,LINCSCP_26225,HT29,10uM,6h,NA,NA,NA,NA,-0.26240598
Trifluoperazine,LINCSCP_25379,HT29,10uM,6h,4,NA,NA,NA,-0.26235402
BML 210,LINCSCP_43579,NPC,10uM,6h,NA,NA,NA,NA,-0.26213352
SB-218078,LINCSCP_33039,MCF7,10uM,24h,NA,NA,NA,NA,-0.26208898
SAN1_014122,LINCSCP_52217,SKB,10uM,24h,NA,NA,NA,NA,-0.26191264
BRD-K90329522,LINCSCP_64232,VCAP,5uM,24h,NA,NA,NA,NA,-0.26188117
Toremifene,LINCSCP_22205,HEPG2,10uM,6h,4,NA,NA,NA,-0.26169537
Dihydroergocristine,LINCSCP_127954,HT29,10uM,24h,4,NA,NA,NA,-0.26162034
Amlodipine,LINCSCP_26768,HT29,10uM,6h,4,NA,NA,NA,-0.26145139
Antimycin A,LINCSCP_42355,NPC,10uM,24h,NA,NA,NA,NA,-0.26137548
Antimycin A,LINCSCP_42355,NPC,10uM,24h,NA,NA,NA,NA,-0.26137548
KUC111109N,LINCSCP_28465,HT29,10uM,6h,NA,NA,NA,NA,-0.26107238
SCHEMBL16226502,LINCSCP_149539,NPC.TAK,10uM,24h,NA,NA,NA,NA,-0.26101694
NCGC00170205-01,LINCSCP_27181,HT29,10uM,6h,NA,NA,NA,NA,-0.26080522
MLS000583956,LINCSCP_25993,HT29,10uM,6h,NA,NA,NA,NA,-0.26067413
CHEMBL2138962,LINCSCP_59256,VCAP,10uM,24h,NA,NA,NA,NA,-0.26059556
Pelitinib,LINCSCP_163313,SKBR3,10uM,3h,2,NA,NA,NA,-0.2603095
F1304-0056,LINCSCP_23304,HEPG2,10uM,24h,NA,NA,NA,NA,-0.26018529
"13-Methyl-7-[9-(4,4,5,5,5-pentafluoropentylsulfinyl)nonyl]-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",LINCSCP_68466,VCAP,10uM,24h,NA,NA,NA,NA,-0.25986479
Metergoline Phenylmethyl Ester,LINCSCP_25220,HT29,10uM,24h,NA,NA,NA,NA,-0.25981632
Thiothixene,LINCSCP_32943,MCF7,10uM,24h,NA,NA,NA,NA,-0.25960149
CHEMBL2356537,LINCSCP_23627,HEPG2,10uM,6h,NA,NA,NA,NA,-0.25958126
CHEMBL1083527,LINCSCP_145023,MDAMB231,10uM,3h,NA,NA,NA,NA,-0.25947721
HMN-214,LINCSCP_70597,A375,3.33uM,24h,NA,NA,NA,NA,-0.25935713
COL-3,LINCSCP_55273,U266,10uM,6h,NA,NA,NA,NA,-0.25928265
Phorbol Myristate Acetate,LINCSCP_55386,U937,0.5uM,6h,NA,NA,NA,NA,-0.25924994
MLS000583957,LINCSCP_58011,VCAP,10uM,6h,NA,NA,NA,NA,-0.2592171
Fccp,LINCSCP_23594,HEPG2,3uM,6h,NA,NA,NA,NA,-0.25919562
AZ20,LINCSCP_88928,HA1E,10uM,24h,NA,NA,NA,NA,-0.25908468
SR-02000000367,LINCSCP_16008,HA1E,10uM,6h,NA,NA,NA,NA,-0.25903785
4LY1,LINCSCP_38625,MCF7,10uM,24h,NA,NA,NA,NA,-0.25886219
NCGC00346967-01,LINCSCP_150221,NPC.TAK,10uM,24h,NA,NA,NA,NA,-0.25885032
EMD-41000,LINCSCP_220818,HEPG2,10uM,6h,NA,NA,NA,NA,-0.25878821
"Dihydroorotate Dehydrogenase Inhibitor, Brequinar",LINCSCP_144452,MCF7,0.37uM,24h,NA,NA,NA,NA,-0.25877976
GW 405833,LINCSCP_53434,SKMEL28,40uM,6h,NA,NA,NA,NA,-0.25869333
SKF 86002,LINCSCP_22826,HEPG2,10uM,6h,NA,NA,NA,NA,-0.25854902
MLS001060802,LINCSCP_31690,MCF7,10uM,6h,NA,NA,NA,NA,-0.25852601
Pevonedistat,LINCSCP_252708,MCF7,10uM,24h,2,NA,NA,NA,-0.25847591
BRD-K31344914,LINCSCP_43316,NPC,10uM,6h,NA,NA,NA,NA,-0.25816797
SB-202190,LINCSCP_56019,VCAP,10uM,24h,NA,NA,NA,NA,-0.25815899
CT-200783,LINCSCP_10325,A673,10uM,6h,NA,NA,NA,NA,-0.25805473
BRD-A43331270-001-01-6,LINCSCP_25678,HT29,10uM,6h,NA,NA,NA,NA,-0.25796662
Orlistat,LINCSCP_158933,PC3,1.11uM,24h,4,NA,NA,NA,-0.25789232
Kolestevan,LINCSCP_44698,PC3,10uM,24h,NA,NA,NA,NA,-0.25782938
SCHEMBL15422032,LINCSCP_6112,A549,10uM,6h,NA,NA,NA,NA,-0.25779463
Dichlorobenzamil,LINCSCP_43326,NPC,10uM,6h,NA,NA,NA,NA,-0.25762302
Apilimod,LINCSCP_122455,HT29,0.37uM,24h,NA,NA,NA,NA,-0.25755104
BMS-345541,LINCSCP_151159,PC3,10uM,24h,NA,NA,NA,NA,-0.25716134
CHEMBL2362024,LINCSCP_65721,VCAP,10uM,24h,NA,NA,NA,NA,-0.25680335
AC1O9EM7,LINCSCP_58743,VCAP,10uM,6h,NA,NA,NA,NA,-0.25679242
Resveratrol,LINCSCP_273607,PC3,10uM,24h,NA,NA,NA,NA,-0.25676368
1228746-78-8,LINCSCP_18783,HCC515,10uM,24h,NA,NA,NA,NA,-0.25664632
BL003-049-HDAC3,LINCSCP_49277,PC3,10uM,6h,NA,NA,NA,NA,-0.25662942
Ruxolitinib,LINCSCP_132510,MCF7,10uM,3h,4,NA,NA,NA,-0.25650896
TAE-684,LINCSCP_22372,HEPG2,10uM,6h,NA,NA,NA,NA,-0.25643869
BAY 61-3606,LINCSCP_150365,NPC.TAK,1.11uM,24h,NA,NA,NA,NA,-0.2563796
XMD 8-92,LINCSCP_87216,CD34,10uM,24h,NA,NA,NA,NA,-0.25637232
Astemizole,LINCSCP_34283,MCF7,10uM,24h,4,NA,NA,NA,-0.25636168
Maprotiline,LINCSCP_58121,VCAP,10uM,24h,NA,NA,NA,NA,-0.25600723
Maprotiline,LINCSCP_58121,VCAP,10uM,24h,4,NA,NA,NA,-0.25600723
CHEMBL2357390,LINCSCP_48993,PC3,10uM,24h,NA,NA,NA,NA,-0.25579703
Ketoconazole,LINCSCP_157637,PC3,10uM,24h,NA,NA,NA,NA,-0.2554519
Ketoconazole,LINCSCP_157637,PC3,10uM,24h,NA,NA,NA,NA,-0.2554519
Ketoconazole,LINCSCP_157637,PC3,10uM,24h,NA,NA,NA,NA,-0.2554519
Genistein,LINCSCP_68531,VCAP,10uM,6h,NA,NA,NA,NA,-0.25528299
CHEMBL299879,LINCSCP_17894,HCC515,10uM,24h,NA,NA,NA,NA,-0.25519746
Neratinib,LINCSCP_163134,SKBR3,3.33uM,3h,NA,NA,NA,NA,-0.25516881
Neratinib,LINCSCP_163134,SKBR3,3.33uM,3h,3,NA,NA,NA,-0.25516881
SMP2_000249,LINCSCP_26957,HT29,10uM,6h,NA,NA,NA,NA,-0.25515786
Bapta-AM,LINCSCP_27002,HT29,10uM,6h,NA,NA,NA,NA,-0.25510846
Fdurd,LINCSCP_34120,MCF7,10uM,24h,NA,NA,NA,NA,-0.25510359
SGI-1776,LINCSCP_149596,NPC.TAK,3.33uM,24h,1,NA,NA,NA,-0.25507786
AC1MCK5A,LINCSCP_1539,A375,10uM,6h,NA,NA,NA,NA,-0.25487684
Clofarabine,LINCSCP_71919,A375,0.12uM,24h,4,NA,NA,NA,-0.2547261
ZINC27645180,LINCSCP_42122,NPC,10uM,24h,NA,NA,NA,NA,-0.25460329
Altrenogest,LINCSCP_156182,PC3,3.33uM,24h,NA,NA,NA,NA,-0.25456413
Altrenogest,LINCSCP_156182,PC3,3.33uM,24h,NA,NA,NA,NA,-0.25456413
Perphenazine,LINCSCP_243420,MCF7,10uM,24h,4,NA,NA,NA,-0.25446788
BRD7116,LINCSCP_24212,HS27A,10uM,6h,NA,NA,NA,NA,-0.25373003
CHEMDIV3_016432,LINCSCP_23713,HEPG2,10uM,6h,NA,NA,NA,NA,-0.25348421
7Beta-forskolin,LINCSCP_27057,HT29,10uM,6h,NA,NA,NA,NA,-0.25345449
CHEMBL2135524,LINCSCP_59298,VCAP,10uM,24h,NA,NA,NA,NA,-0.25339882
Canertinib,LINCSCP_69470,A375,10uM,24h,3,NA,NA,NA,-0.25331857
MLS002607804,LINCSCP_237784,MCF7,10uM,24h,NA,NA,NA,NA,-0.25330082
Phorbol 12-myristate-13-acetate,LINCSCP_51036,RMUGS,10uM,6h,NA,NA,NA,NA,-0.25320574
Dalcetrapib,LINCSCP_4724,A549,80uM,6h,3,NA,NA,NA,-0.25289912
CHEMBL210901,LINCSCP_44125,PC3,10uM,6h,NA,NA,NA,NA,-0.25275384
CHEMBL2137729,LINCSCP_47388,PC3,10uM,6h,NA,NA,NA,NA,-0.25244379
SCHEMBL10195776,LINCSCP_412,A375,10uM,6h,NA,NA,NA,NA,-0.25239937
SCHEMBL15422533,LINCSCP_294486,VCAP,10uM,6h,NA,NA,NA,NA,-0.25218874
BRD-K05686172,LINCSCP_297520,VCAP,5uM,6h,NA,NA,NA,NA,-0.25190577
CHEMBL2357757,LINCSCP_60366,VCAP,5uM,24h,NA,NA,NA,NA,-0.25181622
KW-2478,LINCSCP_105641,HELA,1.11uM,24h,NA,NA,NA,NA,-0.25171699
MLS002264453,LINCSCP_26058,HT29,10uM,6h,NA,NA,NA,NA,-0.25145381
BRD-K92659561,LINCSCP_49194,PC3,10uM,6h,NA,NA,NA,NA,-0.25125783
BRD-K56987347,LINCSCP_60778,VCAP,5uM,24h,NA,NA,NA,NA,-0.25110322
BRD-K38477985,LINCSCP_26912,HT29,10uM,6h,NA,NA,NA,NA,-0.25108829
EMF-SUMO1-39,LINCSCP_3066,A375,10uM,6h,NA,NA,NA,NA,-0.25046416
Carbacyclin,LINCSCP_12455,CD34,3uM,6h,NA,NA,NA,NA,-0.25035375
TAS-103 (dihydrochloride),LINCSCP_167888,YAPC,10uM,24h,NA,NA,NA,NA,-0.25018022
AT 7867,LINCSCP_146323,MNEU.E,10uM,24h,NA,NA,NA,NA,-0.2500939
Adapalene,LINCSCP_43433,NPC,10uM,24h,4,NA,NA,NA,-0.25000599
Nor2-Chlorpromazine,LINCSCP_43357,NPC,10uM,6h,NA,NA,NA,NA,-0.24995564
MLS001173269,LINCSCP_16706,HA1E,10uM,6h,NA,NA,NA,NA,-0.24985153
SCHEMBL16980224,LINCSCP_148102,NPC.CAS9,1.11uM,24h,NA,NA,NA,NA,-0.24971632
AC1L1JM9,LINCSCP_219176,HEPG2,10uM,6h,NA,NA,NA,NA,-0.24961535
ST059620,LINCSCP_48088,PC3,20uM,24h,NA,NA,NA,NA,-0.2491218
Bithionol,LINCSCP_25190,HT29,10uM,6h,4,NA,NA,NA,-0.24899548
2-(Ethylmercuriothio)benzoic acid,LINCSCP_110497,HELA,10uM,24h,NA,NA,NA,NA,-0.24876385
AC1MJFJP,LINCSCP_28898,HUH7,3uM,6h,NA,NA,NA,NA,-0.24867752
N-Benzylquinazolin-4-amine,LINCSCP_44723,PC3,10uM,24h,NA,NA,NA,NA,-0.24828126
MLS001116157,LINCSCP_20100,HCC515,10uM,6h,NA,NA,NA,NA,-0.24826808
Adarotene,LINCSCP_138463,MCF7,3.33uM,24h,NA,NA,NA,NA,-0.24800796
Cyclosporine,LINCSCP_209972,HA1E,10uM,6h,NA,NA,NA,NA,-0.24774352
Cyclosporine,LINCSCP_209972,HA1E,10uM,6h,4,NA,NA,NA,-0.24774352
BRD-K30553817,LINCSCP_41190,NEU,10uM,24h,NA,NA,NA,NA,-0.24774137
BRD-K29251608,LINCSCP_3554,A375,10uM,24h,NA,NA,NA,NA,-0.24760948
AC1O9X68,LINCSCP_32531,MCF7,10uM,24h,NA,NA,NA,NA,-0.24729403
RO-3306,LINCSCP_34229,MCF7,10uM,6h,NA,NA,NA,NA,-0.24716419
Rhodomyrtoxin,LINCSCP_44707,PC3,10uM,24h,NA,NA,NA,NA,-0.24707286
Acetaminophen,LINCSCP_139031,MCF7,0.04uM,24h,4,NA,NA,NA,-0.24699048
Dovitinib,LINCSCP_85548,BT20,10uM,3h,3,NA,NA,NA,-0.24686532
CHEMBL258148,LINCSCP_56824,VCAP,90uM,24h,NA,NA,NA,NA,-0.24682095
CHEMDIV1_016684,LINCSCP_58308,VCAP,10uM,24h,NA,NA,NA,NA,-0.24673226
Rigosertib,LINCSCP_70570,A375,0.12uM,24h,3,NA,NA,NA,-0.24667606
COT-10B,LINCSCP_15562,HA1E,40uM,6h,NA,NA,NA,NA,-0.24666345
Devazepide,LINCSCP_33206,MCF7,10uM,6h,NA,NA,NA,NA,-0.24641095
Pilaralisib,LINCSCP_295488,VCAP,10uM,6h,NA,NA,NA,NA,-0.24620543
CHEMBL2362834,LINCSCP_23649,HEPG2,10uM,6h,NA,NA,NA,NA,-0.24589558
BRD-K80169513,LINCSCP_28389,HT29,10uM,24h,NA,NA,NA,NA,-0.24587095
"9-[3-(3,5-Dimethylpiperazin-1-yl)propyl]-9H-carbazole",LINCSCP_33176,MCF7,10uM,6h,NA,NA,NA,NA,-0.24583024
MD-II-038,LINCSCP_40809,NEU,10uM,24h,NA,NA,NA,NA,-0.24581214
ITK Inhibitor,LINCSCP_11605,BT20,1uM,24h,NA,NA,NA,NA,-0.2457375
GSK429286A,LINCSCP_51517,SKBR3,10uM,6h,NA,NA,NA,NA,-0.24569415
ZINC28755859,LINCSCP_46958,PC3,10uM,6h,NA,NA,NA,NA,-0.24551995
AS601245,LINCSCP_24223,HS578T,1uM,24h,NA,NA,NA,NA,-0.24550571
Hoechst 33258,LINCSCP_153241,PC3,10uM,24h,NA,NA,NA,NA,-0.24532882
SAN1_003817,LINCSCP_46380,PC3,10uM,6h,NA,NA,NA,NA,-0.24516845
Tyrphostin A9,LINCSCP_32486,MCF7,10uM,24h,NA,NA,NA,NA,-0.24515904
Fentanyl Isothiocyanate,LINCSCP_17943,HCC515,10uM,24h,NA,NA,NA,NA,-0.24497947
LY 2183240,LINCSCP_18707,HCC515,10uM,6h,NA,NA,NA,NA,-0.24487407
NSC653260,LINCSCP_26930,HT29,10uM,6h,NA,NA,NA,NA,-0.24487363
Scandenin,LINCSCP_44418,PC3,10uM,24h,NA,NA,NA,NA,-0.24478627
Olaparib,LINCSCP_148412,NPC.CAS9,0.12uM,24h,4,NA,NA,NA,-0.24467008
LY2334737,LINCSCP_138174,MCF7,10uM,24h,NA,NA,NA,NA,-0.24460637
Vanoxerine,LINCSCP_43317,NPC,10uM,6h,3,NA,NA,NA,-0.24459912
Fenretinide,LINCSCP_41603,NEU,10uM,6h,3,NA,NA,NA,-0.24459378
COT Inhibitor-2,LINCSCP_147542,NPC.CAS9,10uM,24h,NA,NA,NA,NA,-0.2444876
MLS002264458,LINCSCP_57665,VCAP,10uM,6h,NA,NA,NA,NA,-0.24437501
ABT737,LINCSCP_84471,ASC,3.33uM,24h,NA,NA,NA,NA,-0.24437332
C23H24CLN3O5,LINCSCP_16231,HA1E,10uM,6h,NA,NA,NA,NA,-0.24414978
Lasalocid,LINCSCP_56248,VCAP,10uM,24h,NA,NA,NA,NA,-0.24405566
NVP-AUY922,LINCSCP_163294,SKBR3,0.04uM,3h,NA,NA,NA,NA,-0.24397101
KUC104493,LINCSCP_57870,VCAP,10uM,6h,NA,NA,NA,NA,-0.24363828
CHEMBL2360506,LINCSCP_47136,PC3,10uM,24h,NA,NA,NA,NA,-0.24362074
AZD7762,LINCSCP_173833,YAPC,1.11uM,24h,1,NA,NA,NA,-0.24350599
HG-6-64-01,LINCSCP_58673,VCAP,10uM,24h,NA,NA,NA,NA,-0.24350414
1446-61-3,LINCSCP_55672,VCAP,10uM,24h,NA,NA,NA,NA,-0.24327837
Pralatrexate,LINCSCP_174660,YAPC,3.33uM,24h,4,NA,NA,NA,-0.2432339
MRE-269,LINCSCP_12444,CD34,3uM,6h,NA,NA,NA,NA,-0.24323305
BRD-K19181733,LINCSCP_46438,PC3,10uM,24h,NA,NA,NA,NA,-0.24300043
84215-10-1,LINCSCP_13759,HA1E,10uM,24h,NA,NA,NA,NA,-0.24294236
BG-51,LINCSCP_49274,PC3,10uM,6h,NA,NA,NA,NA,-0.242902
BRD-K08251038,LINCSCP_28332,HT29,10uM,24h,NA,NA,NA,NA,-0.24240358
C24H25CLFN5O3,LINCSCP_130218,LNCAP,10uM,3h,NA,NA,NA,NA,-0.24240119
Tanespimycin,LINCSCP_15661,HA1E,0.5uM,6h,3,NA,NA,NA,-0.24235866
MLS003448149,LINCSCP_54560,SW948,10uM,6h,NA,NA,NA,NA,-0.24207009
SPECTRUM2_000920,LINCSCP_72,A375,10uM,6h,NA,NA,NA,NA,-0.24194905
NU-7026,LINCSCP_148041,NPC.CAS9,0.12uM,24h,NA,NA,NA,NA,-0.24193016
AN-023/14772014,LINCSCP_29077,HUH7,10uM,6h,NA,NA,NA,NA,-0.24160581
CHEMBL2355585,LINCSCP_277893,PC3,10uM,24h,NA,NA,NA,NA,-0.24157278
BRD-K31931684,LINCSCP_49116,PC3,10uM,6h,NA,NA,NA,NA,-0.24152214
Lomitapide,LINCSCP_161384,PC3,10uM,24h,4,NA,NA,NA,-0.24134867
SCHEMBL1564574,LINCSCP_29517,MCF10A,1uM,24h,NA,NA,NA,NA,-0.24121151
RS-17053,LINCSCP_27028,HT29,10uM,6h,NA,NA,NA,NA,-0.24113894
"Trichostatin A, Streptomyces Sp.",LINCSCP_67820,NPC,10uM,6h,NA,NA,NA,NA,-0.24088179
AMG 232,LINCSCP_140826,MCF7,3.33uM,24h,NA,NA,NA,NA,-0.24087406
CHEMBL3188986,LINCSCP_28349,HT29,10uM,24h,NA,NA,NA,NA,-0.24032334
CHEMBL1555451,LINCSCP_57448,VCAP,10uM,6h,NA,NA,NA,NA,-0.24020271
MLS001207806,LINCSCP_41960,NOMO1,10uM,24h,NA,NA,NA,NA,-0.2400449
UNC0638,LINCSCP_146951,NEU,10uM,24h,NA,NA,NA,NA,-0.24002348
CHEMBL2356894,LINCSCP_60490,VCAP,5uM,6h,NA,NA,NA,NA,-0.24001434
PU-H-71,LINCSCP_20442,HCC515,10uM,6h,NA,NA,NA,NA,-0.23991174
Iloprost,LINCSCP_12409,CD34,1uM,6h,4,NA,NA,NA,-0.23967713
GSK-J1,LINCSCP_88707,HA1E,3.33uM,24h,NA,NA,NA,NA,-0.23963113
BRD-K84450674,LINCSCP_47158,PC3,10uM,24h,NA,NA,NA,NA,-0.23957132
YC1,LINCSCP_28830,HUH7,5uM,24h,NA,NA,NA,NA,-0.23940661
Tanaproget,LINCSCP_144161,MCF7,10uM,24h,NA,NA,NA,NA,-0.23924204
Avicin-G,LINCSCP_49414,PC3,1uM,6h,NA,NA,NA,NA,-0.23920701
761437-28-9,LINCSCP_133533,MCF7,3.33uM,24h,NA,NA,NA,NA,-0.23897471
"Haematoxylone, Tetramethyl-",LINCSCP_262402,NPC,10uM,24h,NA,NA,NA,NA,-0.23878674
CHEMBL2131708,LINCSCP_26039,HT29,10uM,6h,NA,NA,NA,NA,-0.23866032
BRD-A41986761,LINCSCP_71704,A375,0.04uM,24h,NA,NA,NA,NA,-0.23850813
JLK-6,LINCSCP_7155,A549,10uM,6h,NA,NA,NA,NA,-0.23849709
Dinaciclib,LINCSCP_74414,A375,0.12uM,24h,3,NA,NA,NA,-0.23848797
TAK-715,LINCSCP_148135,NPC.CAS9,10uM,24h,2,NA,NA,NA,-0.23843028
"2-[(Dimethylamino)methyl]-2,3-dihydro-1H-inden-1-one",LINCSCP_2671,A375,10uM,6h,NA,NA,NA,NA,-0.23825587
PHA-767491,LINCSCP_117055,HT29,10uM,24h,NA,NA,NA,NA,-0.23824725
HG-14-10-04,LINCSCP_128573,HUVEC,3.33uM,24h,NA,NA,NA,NA,-0.23818774
17-DMAG (Alvespimycin) HCl,LINCSCP_101865,HELA,0.04uM,24h,NA,NA,NA,NA,-0.23815232
MLN 2238,LINCSCP_37184,MCF7,1uM,6h,4,NA,NA,NA,-0.23803671
ZK 164015,LINCSCP_43993,PC3,10uM,24h,NA,NA,NA,NA,-0.23798115
Zuclomiphene,LINCSCP_30200,MCF7,10uM,6h,NA,NA,NA,NA,-0.23793114
Sertraline,LINCSCP_226750,HT29,10uM,6h,4,NA,NA,NA,-0.23786321
CHEMBL2355034,LINCSCP_47083,PC3,10uM,24h,NA,NA,NA,NA,-0.23782137
Ixabepilone,LINCSCP_74590,A375,0.12uM,24h,4,NA,NA,NA,-0.23746196
BRD-K64523453,LINCSCP_28272,HT29,10uM,24h,NA,NA,NA,NA,-0.23734994
BRD-K89097220,LINCSCP_23929,HEPG2,1.11uM,24h,NA,NA,NA,NA,-0.23728896
CHEMBL1172402,LINCSCP_13144,FIBRNPC,10uM,24h,NA,NA,NA,NA,-0.23717014
VU0418000-1,LINCSCP_21947,HEPG2,10uM,6h,NA,NA,NA,NA,-0.23689233
TL_HRAS27,LINCSCP_57634,VCAP,10uM,6h,NA,NA,NA,NA,-0.23665401
BRD-K73008154,LINCSCP_48459,PC3,10uM,24h,NA,NA,NA,NA,-0.23656187
Avicin-D,LINCSCP_29207,JURKAT,3uM,6h,NA,NA,NA,NA,-0.23654048
MLS006011051,LINCSCP_285547,SKBR3,10uM,6h,NA,NA,NA,NA,-0.23652987
BRD-K66805710,LINCSCP_310168,VCAP,30uM,6h,NA,NA,NA,NA,-0.23617626
"Triazolothiadiazine, 22",LINCSCP_21943,HEPG2,10uM,6h,NA,NA,NA,NA,-0.23604146
Cabozantinib,LINCSCP_139931,MCF7,10uM,24h,4,NA,NA,NA,-0.23597017
CHEMBL1456638,LINCSCP_57763,VCAP,10uM,24h,NA,NA,NA,NA,-0.23594438
BRD-K36620425,LINCSCP_310138,VCAP,30uM,6h,NA,NA,NA,NA,-0.23594107
GRANISETRON HYDROCHLORIDE,LINCSCP_72710,A375,10uM,24h,4,NA,NA,NA,-0.23592072
KUC104135,LINCSCP_1599,A375,10uM,6h,NA,NA,NA,NA,-0.23590129
"N-(4-Bromophenyl)-2-{[5-(2-chlorophenyl)-4-phenyl-4H-1,2,4-triazol-3-yl]sulfanyl}acetamide",LINCSCP_46716,PC3,10uM,24h,NA,NA,NA,NA,-0.23572698
AVN-944,LINCSCP_140621,MCF7,10uM,24h,NA,NA,NA,NA,-0.23561827
Lacidipine,LINCSCP_46060,PC3,10uM,24h,NA,NA,NA,NA,-0.2355217
Lacidipine,LINCSCP_46060,PC3,10uM,24h,4,NA,NA,NA,-0.2355217
AC1N0EYN,LINCSCP_23542,HEPG2,20uM,6h,NA,NA,NA,NA,-0.23548065
BRD-K01425431,LINCSCP_163689,SKBR3,10uM,24h,NA,NA,NA,NA,-0.23544501
GW620972X,LINCSCP_70684,A375,0.12uM,24h,NA,NA,NA,NA,-0.23533689
SR-02000000354,LINCSCP_15989,HA1E,10uM,6h,NA,NA,NA,NA,-0.2353122
Linagliptin,LINCSCP_135434,MCF7,10uM,24h,4,NA,NA,NA,-0.23527077
Rifapentine,LINCSCP_22025,HEPG2,10uM,6h,NA,NA,NA,NA,-0.2352634
Rifapentine,LINCSCP_22025,HEPG2,10uM,6h,4,NA,NA,NA,-0.2352634
Mebendazole,LINCSCP_67622,MCF7,40uM,6h,4,NA,NA,NA,-0.23511183
Ciproxifan,LINCSCP_43290,NPC,10uM,6h,NA,NA,NA,NA,-0.23504889
TOFA,LINCSCP_126090,HT29,1.11uM,24h,NA,NA,NA,NA,-0.23491756
Aminogenistein,LINCSCP_33321,MCF7,10uM,24h,NA,NA,NA,NA,-0.23489589
FPL64176,LINCSCP_242374,MCF7,10uM,6h,NA,NA,NA,NA,-0.23481914
CHEMBL2356693,LINCSCP_47092,PC3,10uM,24h,NA,NA,NA,NA,-0.23477048
Seliciclib,LINCSCP_163326,SKBR3,3.33uM,3h,2,NA,NA,NA,-0.23462761
VU0420364-1,LINCSCP_1639,A375,10uM,6h,NA,NA,NA,NA,-0.23462483
BRD-K20197338,LINCSCP_28340,HT29,10uM,24h,NA,NA,NA,NA,-0.23454726
TAN-67,LINCSCP_238075,MCF7,10uM,6h,NA,NA,NA,NA,-0.23450795
CHEMBL2358729,LINCSCP_41074,NEU,10uM,24h,NA,NA,NA,NA,-0.2344586
SCHEMBL10028379,LINCSCP_2062,A375,10uM,6h,NA,NA,NA,NA,-0.23436266
Vindesine,LINCSCP_58167,VCAP,10uM,24h,4,NA,NA,NA,-0.23431708
Geldanamycin,LINCSCP_41353,NEU,10uM,24h,NA,NA,NA,NA,-0.23429792
Duloxetine,LINCSCP_126082,HT29,10uM,24h,4,NA,NA,NA,-0.23426078
